ProductName,Predicted_SubCategory,True_SubCategory
"""Nylon Swim Shorts""",Active Pants,Shorts
"""Men's Basic Fit Chino Pants""",Chinos,Chinos
"""Men's Paige Brysen Regular Fit Crewneck Sweatshirt""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""J.Crew Stretch-Cotton Twill Chinos""",Chinos,Chinos
"""padded gilet""",Vests,Vests
"""Gucci Printed Silk-Twill Pocket Square""",Pocket Squares,Pocket Squares
"""Waxed Leather Lace-up Boots""",Boots,Boots
"""Dries Van Noten Yellow Rib Cardigan""",Cardigans,Cardigans
"""Logo Icon Cotton Jersey Boxer Briefs""",Boxers & Briefs,Boxers & Briefs
"""Iphone XR Wings cover""",Tech Accessories,Tech Accessories
"""Gucci Men's GG Wool Slipper With Horsebit - Blue Red """,Slides/Slipper,Slides/Slipper
"""Brunello Cucinelli Men's Reversible Pocket Square - Green""",Pocket Squares,Pocket Squares
"""Embossed Cotton Jersey Jogging Pants""",Active Pants,Active Pants
"""Arc'teryx Veilance Demlo Overshirt in Black""",Overshirts,Overshirts
"""E buckle belt""",Belts,Belts
"""Men's CTNMB Spray Paint Graphic Sweatshirt""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Satisfy - Studio Training Jersey Trousers - Mens - Black""",Active Pants,Active Pants
"""Ksubi Seeing Lines Tee in Blue""",T-Shirts,T-Shirts
"""Dr. Martens Black Quynn Monk Derbys""",Derbys,Derbys
"""Dries Van Noten Purple Metallic Ruffle Cardigan""",Cardigans,Cardigans
"""Canada Goose Men's Northern Quilted Gloves - Black """,Gloves,Gloves
"""Burberry Hyde Shirt in Gray,Green,Abstract""",Shirts,Eyewear
"""Tb Sonny Printed Nylon Belt Bag""",Bags,Bags
"""Ksubi Sioux Tee in Black""",T-Shirts,T-Shirts
"""Men's Slim Flat-Front Washed Chino Pants""",Chinos,Chinos
"""Short zipped jacket""",Jackets,Jackets
"""Men's Slouchy Rise Tuxedo Jogger Pants""",Active Pants,Tuxedos
"""Men's Bonobos Alo Stripe Pocket T-Shirt""",T-Shirts,T-Shirts
